date,course,lmsc,name,meet_id,meet_url,meet_uuid
"Dec 14-15, 2019",SCM,NJ,2019 Somerset County YMCA Masters Pentathlon Swim Festival (and 25s!),20191214SCPENTS,https://www.usms.org/comp/meets/meet.php?MeetID=20191214SCPENTS,ab5ea5a9-ef1d-4b38-96dd-f6100af0eacc
"Dec 14-15, 2019",SCY,MT,2019 TYR Teddy Bear Classic,20191214TEDYBRY,https://www.usms.org/comp/meets/meet.php?MeetID=20191214TEDYBRY,4822734e-f3b0-45e7-b716-add945359d76
"Dec 14-15, 2019",SCY,SR,Candy Cane Invitational,20191214CC2019Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191214CC2019Y,9cee3430-3675-441f-a566-34b47db1b9c9
"Dec 14, 2019",SCM,IN,5th Annual Last Chance at Warren Masters Meet,20191214WarrenS,https://www.usms.org/comp/meets/meet.php?MeetID=20191214WarrenS,665743c6-2d18-48ac-b69f-b51445d5f910
"Dec 14, 2019",SCM,OR,11th Annaul Bend All Around Meet,20191214BRTSQDS,https://www.usms.org/comp/meets/meet.php?MeetID=20191214BRTSQDS,032671d0-bd6a-4cbc-8dda-0718734eadf0
"Dec 14, 2019",SCM,NT,Dallas Aquatic Masters Fall Short Course Meters Meet,20191214DAMSCYS,https://www.usms.org/comp/meets/meet.php?MeetID=20191214DAMSCYS,3276b1c5-1667-4c04-a840-edb929f893b3
"Dec 14, 2019",SCM,CO,Denver Athletic Club Short Course Meets Winter Championship,20191214DACS,https://www.usms.org/comp/meets/meet.php?MeetID=20191214DACS,e535e039-eae0-4ddb-9c85-305fb0a2d111
"Dec 14, 2019",SCY,NI,22 st Annual Fall Ithaca Masters Meet at Ithaca College,20191214Ith19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191214Ith19Y,c389bcb7-bb9e-4cf0-90f6-c4225cfd9a16
"Dec 14, 2019",SCY,ST,2019 South Texas Masters Holiday Classic,20191214S003Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191214S003Y,04154bb6-76ea-46df-a006-59d19bfcb97b
"Dec 13-16, 2019",SCY,PC,Speedo 2019 CA-NV Sectionals - Monterey Park,20191216SECT_LY,https://www.usms.org/comp/meets/meet.php?MeetID=20191216SECT_LY,4d91ba4e-c148-4a7e-805c-ef7232a6fd03
"Dec 13-15, 2019",SCM,NE,2019 NE-LMSC & Colonies Zone SCM Championships,20191213WPISCMS,https://www.usms.org/comp/meets/meet.php?MeetID=20191213WPISCMS,b4c0376a-c21c-4c9f-af75-a6f3d22bc627
"Dec 13-15, 2019",SCY,AR,2019 MV Midwest Winter Classic,2019121519MVWY,https://www.usms.org/comp/meets/meet.php?MeetID=2019121519MVWY,0269d775-0ebd-44a1-a954-d46d3f5d4b97
"Dec 12-15, 2019",SCY,VA,9th HOKI Swim and Tri Winter Champs (USA-S),20191215HOKI19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191215HOKI19Y,dc71ee4f-feb5-40cc-8deb-c25b2628f1db
"Dec 8, 2019",SCY,MD,Carol Chidester Memorial Swim Series Meet No. 3,20191208SS3WCY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208SS3WCY,f1313535-169f-45ed-9be7-f1c18b988dcd
"Dec 8, 2019",SCM,KY,The Lakeside Mile,20191208LakeMiS,https://www.usms.org/comp/meets/meet.php?MeetID=20191208LakeMiS,21f2b10f-141d-42aa-9d5e-31166a626978
"Dec 8, 2019",SCY,FG,2019 GA SEGA Boro Blast,20191208BORBLTY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208BORBLTY,acbba61a-b00b-4eea-8a71-1c0e26359281
"Dec 7-8, 2019",SCM,LE,2019 OHIO Masters SCM Swim Meet - Massillon,20191207hudsonS,https://www.usms.org/comp/meets/meet.php?MeetID=20191207hudsonS,12c3245d-7514-4c78-a8f1-3166df2f9df1
"Dec 7-8, 2019",SCY,AK,Holiday Invite,2019120712345Y,https://www.usms.org/comp/meets/meet.php?MeetID=2019120712345Y,eb164aba-4af7-4c8a-afbc-25ef1b5fa46c
"Dec 7-8, 2019",SCY,AR,AquaHawgs Santa Splash,20191207AHSS19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191207AHSS19Y,0df9551d-e5ac-4046-87a0-8e7ff076b7e0
"Dec 7-8, 2019",SCY,FG,Florida Senior Games Swimming,20191207FLSRGMY,https://www.usms.org/comp/meets/meet.php?MeetID=20191207FLSRGMY,7f8d154f-2c41-44b6-a286-1853ece755ef
"Dec 7, 2019",SCM,PV,7th Annual Solstice SCM Swim Meet,20191207solstcS,https://www.usms.org/comp/meets/meet.php?MeetID=20191207solstcS,159d106d-69d1-4315-a82e-c106b7dd0771
"Dec 7, 2019",SCM,WI,2019 Wisconsin Masters SCM Meet at West Bend HS,20191207WESTBS,https://www.usms.org/comp/meets/meet.php?MeetID=20191207WESTBS,b237c5d9-def9-44c2-8337-bf2b13062b3b
"Dec 7, 2019",SCY,MI,Stray Cats Masters Swim Meet,20191207dewittY,https://www.usms.org/comp/meets/meet.php?MeetID=20191207dewittY,739704ea-ca42-41c4-aafa-f49a3f5ddcce
"Dec 7, 2019",SCY,ND,2019 RRV Santa Invite,20191207529005Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191207529005Y,b6756d73-6ad0-411c-8138-1eb29539a745
"Dec 6-8, 2019",SCM,SP,SPMS SCM Regional Championships,20191206SPMSCMS,https://www.usms.org/comp/meets/meet.php?MeetID=20191206SPMSCMS,bf1b9b49-1c34-4759-a6cd-ef3ad63c1704
"Dec 6-8, 2019",SCY,KY,2019 Cardinal Christmas Classic,20191208CardXmY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208CardXmY,b9e2a6c4-07fe-47a7-ad3c-4c5ef98c06ca
"Dec 6-8, 2019",SCY,GA,2019 Georgia Swimming Short Course Senior State Championship,20191208GASRSTY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208GASRSTY,27bd8ddc-cb88-475d-8ecc-cb2d6c03cf32
"Dec 6-8, 2019",SCY,VA,STAT Winter Championships (USA-S),20191208VASTATY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208VASTATY,68426bd5-9d1b-4aa8-b630-58648d2b9b57
"Dec 6-8, 2019",SCY,NT,MANSFIELD AQUATIC CLUB 2019 MAC North Texas Senior Meet #3,20191208MACNT3Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191208MACNT3Y,6808d17b-1d7c-4ae0-8bfd-8e99ccfef1bb
"Dec 6-8, 2019",SCY,GU,Gulf 13 and Over Championships Invitational (USA Meet),20191208GUCHAMY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208GUCHAMY,546ab423-6025-42ea-92f1-b5a9fc0f95bb
"Dec 6-7, 2019",SCY,AR,2019 Trey Heye Memorial Swim Meet,20191207TH19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191207TH19Y,187b5397-2519-47cd-b65d-5a938a4d52d2
"Dec 4-8, 2019",SCY,PC,Toyota US Open Championships,20191208USANATY,https://www.usms.org/comp/meets/meet.php?MeetID=20191208USANATY,104e1d0d-97b8-437b-9d96-f35b2e4e8d7a
"Dec 4-7, 2019",LCM,SP,US OPEN,20191207USOPENL,https://www.usms.org/comp/meets/meet.php?MeetID=20191207USOPENL,12bfaa2f-aac3-4bbf-a369-c5b596d8ff1e
"Dec 1, 2019",SCY,IL,Evanston Masters 2019 December Invite,20191201EDEC19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191201EDEC19Y,b7d619fa-f904-424e-8a8a-62b1d60114ef
"Nov 30 - Dec 1, 2019",SCM,AK,2019 Alaska Masters SCM State Championship,20191130scm19S,https://www.usms.org/comp/meets/meet.php?MeetID=20191130scm19S,4a287fb4-77b0-4697-a619-9e1f70335f7e
"Nov 29 - Dec 1, 2019",SCM,MR,Neptune International de Noel 2019,20191201NEPTCAS,https://www.usms.org/comp/meets/meet.php?MeetID=20191201NEPTCAS,5b4ffc6d-de0c-4f1e-b9e2-d28799dc310b
"Nov 24, 2019",SCM,PN,2019 PSM SCM Championship Meet,20191124PSMSCMS,https://www.usms.org/comp/meets/meet.php?MeetID=20191124PSMSCMS,a129275e-7e9b-4bee-b09a-bae962f9b819
"Nov 24, 2019",SCM,MR,Dr. Bill Ross Memorial Masters Swim Meet,20191124BR19S,https://www.usms.org/comp/meets/meet.php?MeetID=20191124BR19S,e2903b99-21df-4f54-b0b1-fd6c9d782bc0
"Nov 24, 2019",SCM,KY,The Louisville Invitational,20191124LouInvS,https://www.usms.org/comp/meets/meet.php?MeetID=20191124LouInvS,a93fef3b-35c5-48d1-a28b-029b012b8028
"Nov 24, 2019",SCM,MN,Minnesota SCM State Championship Meet,20191124MNSCStS,https://www.usms.org/comp/meets/meet.php?MeetID=20191124MNSCStS,915b7d30-61e0-4d9a-9abd-7f1c3153d9d1
"Nov 23, 2019",SCM,SE,9th Annual 2018 NAC Masters Sprinting Turkey Classic,20191123NACSCMS,https://www.usms.org/comp/meets/meet.php?MeetID=20191123NACSCMS,5d62bf5b-e387-4774-858e-093b5bc4e65a
"Nov 23, 2019",SCM,DV,2019 Last Chance Meters Meet,20191123AdamCtS,https://www.usms.org/comp/meets/meet.php?MeetID=20191123AdamCtS,8643bb45-8fe9-4420-aeff-1ffb92e27045
"Nov 22-24, 2019",SCY,SP,SLO Gobbler Classic,20191122SLOGCY,https://www.usms.org/comp/meets/meet.php?MeetID=20191122SLOGCY,a1675511-6f40-436c-95b9-cd4c61c6caa8
"Nov 22-24, 2019",SCY,SR,TYR Thanksgiving Invitational,20191122Tg19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191122Tg19Y,b2308b02-7713-46e9-8d48-59a16ea4ddc5
"Nov 22-24, 2019",SCY,AR,2019 Paul Blair Memorial Invitational,20191124PG19Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191124PG19Y,d4c1861c-57c6-48cf-937f-235039068741
"Nov 17, 2019",SCM,GA,Atlanta Rainbow Trout St. Nick Invitational,2019111719NickS,https://www.usms.org/comp/meets/meet.php?MeetID=2019111719NickS,f5318501-34ed-4eb4-9f21-ef1fa10b9a2d
"Nov 17, 2019",SCY,IL,Lemont Big Fins Fall Invitational,20191117LBF20Y,https://www.usms.org/comp/meets/meet.php?MeetID=20191117LBF20Y,cb2bb73f-6066-48a3-8408-d9f30b5cdd4d
"Nov 16-17, 2019",SCY,MT,2019 KATS Invitational Meet,20191116KATINVY,https://www.usms.org/comp/meets/meet.php?MeetID=20191116KATINVY,4fe0b02f-bf64-484c-9e8f-6ac47487f69b
"Nov 16, 2019",SCY,MI,South Lyon Masters Swim Meet,20191116fallsoY,https://www.usms.org/comp/meets/meet.php?MeetID=20191116fallsoY,73d9a5da-750b-4443-a5ba-f38ad9899508
"Nov 16, 2019",SCY,SE,2019 Dotty Whitcomb Turkey Dip Swim Meet,20191116PensacY,https://www.usms.org/comp/meets/meet.php?MeetID=20191116PensacY,4b5a5f11-5629-4e2d-9fd9-e4fc5668c059
"Nov 16, 2019",SCY,FG,2019 Freestyle Frenzy,20191116FZYFREY,https://www.usms.org/comp/meets/meet.php?MeetID=20191116FZYFREY,1aecf4e9-393f-4d50-b93d-48b22c5ded4a
"Nov 15-17, 2019",SCY,NT,MANSFIELD AQUATIC CLUB 2019 MAC B/C Meet,20191117MACBCY,https://www.usms.org/comp/meets/meet.php?MeetID=20191117MACBCY,3d507ad7-b776-4ecb-8257-1871899f0cb9
